"AwsAccountId","AwsAccountAlias","Region","FileSystemId","FileSystemDNSName","FileSystemType","FileSystemTypeVersion","FileSystemOwnerId","FileSystemStorageType","Name","OnTapType","WindowsType","LustreType","OpenZFSType","StorageCapacityBytes","StorageCapacityGiB","StorageCapacityTiB","StorageCapacityGB","StorageCapacityTB","StorageUsedBytes","StorageUsedGiB","StorageUsedTiB","StorageUsedGB","StorageUsedTB","StorageCapacityUtilizationPercentage"
"AwsAccountId-00000","AwsAccountAlias-00000","us-west-2","FileSystemId-00004",,"ONTAP",,"AwsAccountId-00000","SSD","Name-00023","True","False","False","False","23622320128000","22000","21.4844","23622.3201","23.6223","10731064958976","9994.083","9.7598","10731.065","10.7311",
"AwsAccountId-00000","AwsAccountAlias-00000","us-west-2","FileSystemId-00005","FileSystemDNSName-00000","WINDOWS",,"AwsAccountId-00000","SSD","Name-00024","False","True","False","False","107374182400","100","0.0977","107.3742","0.1074",,,,,,"0.1064453125"
"AwsAccountId-00000","AwsAccountAlias-00000","us-west-1","FileSystemId-00006",,"ONTAP",,"AwsAccountId-00000","SSD","Name-00025","True","False","False","False","1099511627776","1024","1","1099.5116","1.0995","114094080","0.1063","0.0001","0.1141","0.0001",
