"AwsAccountId","AwsAccountAlias","Region","FileSystemId","FileSystemDNSName","FileSystemType","FileSystemTypeVersion","FileSystemOwnerId","FileSystemStorageType","Name","VolumeId","VolumeType","LifeCycle","StorageUsedBytes","StorageUsedGiB","StorageUsedTiB","StorageUsedGB","StorageUsedTB","StorageCapacityBytes","StorageCapacityGiB","StorageCapacityTiB","StorageCapacityGB","StorageCapacityTB","BackupPlans","InBackupPlan"
"AwsAccountId-00000","AwsAccountAlias-00000","us-west-2","FileSystemId-00004",,"ONTAP",,"AwsAccountId-00000","SSD","Name-00026","VolumeId-00005","ONTAP","CREATED","12020182388736","11194.6672","10.9323","12020.1824","12.0202","21990232555520","20480","20","21990.2326","21.9902","","False"
"AwsAccountId-00000","AwsAccountAlias-00000","us-west-2","FileSystemId-00004",,"ONTAP",,"AwsAccountId-00000","SSD","Name-00027","VolumeId-00006","ONTAP","CREATED","67203072","0.0626","0.0001","0.0672","0.0001","1073741824","1","0.001","1.0737","0.0011","","False"
"AwsAccountId-00000","AwsAccountAlias-00000","us-west-2","FileSystemId-00004",,"ONTAP",,"AwsAccountId-00000","SSD","Name-00028","VolumeId-00007","ONTAP","CREATED","67178496","0.0626","0.0001","0.0672","0.0001","1073741824","1","0.001","1.0737","0.0011","","False"
"AwsAccountId-00000","AwsAccountAlias-00000","us-west-2","FileSystemId-00004",,"ONTAP",,"AwsAccountId-00000","SSD","Name-00029","VolumeId-00008","ONTAP","CREATED","557760512","0.5195","0.0005","0.5578","0.0006","10737418240","10","0.0098","10.7374","0.0107","","False"
"AwsAccountId-00000","AwsAccountAlias-00000","us-west-1","FileSystemId-00006",,"ONTAP",,"AwsAccountId-00000","SSD","Name-00026","VolumeId-00009","ONTAP","CREATED","54980018176","51.2041","0.05","54.98","0.055","1099511627776","1024","1","1099.5116","1.0995","","False"
"AwsAccountId-00000","AwsAccountAlias-00000","us-west-1","FileSystemId-00006",,"ONTAP",,"AwsAccountId-00000","SSD","Name-00030","VolumeId-00010","ONTAP","CREATED","5373775872","5.0047","0.0049","5.3738","0.0054","107374182400","100","0.0977","107.3742","0.1074","","False"
"AwsAccountId-00000","AwsAccountAlias-00000","us-west-1","FileSystemId-00006",,"ONTAP",,"AwsAccountId-00000","SSD","Name-00027","VolumeId-00011","ONTAP","CREATED","56098816","0.0522","0.0001","0.0561","0.0001","1073741824","1","0.001","1.0737","0.0011","","False"
