"Tenant","Subscription","Region","ResourceGroup","FriendlyName","ServerName","ParentName","ParentType","LastBackupErrorDetail","ProtectedItemDataSourceId","ProtectedItemHealthStatus","ProtectionStatus","PolicyId","ProtectionState","LastBackupStatus","LastBackupTime","ProtectionPolicyName","ExtendedInfo","DateOfPurge","DeleteState","Name","Id","LatestRecoveryPoint","SourceResourceId","WorkloadType","ContainerName","ContainerType","BackupManagementType"
"Tenant-1","subscription-1","westus2","ResoruceGroup-1","azbp0_db7","windows-azbp0","MSSQLSERVER","AzureVmWorkloadSQLInstance",,"7661449799016875264","Healthy","Healthy","/subscriptions/12345678-1234-1234-1234-123456789012/resourceGroups/ResoruceGroup-1/providers/Microsoft.RecoveryServices/vaults/vault-1/backupPolicies/SQLPolicy","Protected","Healthy","12/20/2023 7:15:59AM","SQLPolicy",,,"NotDeleted","SQLDataBase;mssqlserver;azbp0_db7","/subscriptions/12345678-1234-1234-1234-123456789012/resourceGroups/ResoruceGroup-1/providers/Microsoft.RecoveryServices/vaults/vault-1/backupFabrics/Azure/protectionContainers/VMAppContainer;compute;RG-azbp-sqlvm;windows-azbp0/protectedItems/SQLDataBase;mssqlserver;azbp0_db7",,"/subscriptions/12345678-1234-1234-1234-123456789012/resourceGroups/RG-azbp-sqlvm/providers/Microsoft.Compute/virtualMachines/windows-azbp0","MSSQL","VMAppContainer;compute;RG-azbp-sqlvm;windows-azbp0","AzureVMAppContainer","AzureWorkload"
"Tenant-1","subscription-1","westus2","ResoruceGroup-1","model","windows-azbp0","MSSQLSERVER","AzureVmWorkloadSQLInstance",,"7661449799211396532","Healthy","Healthy","/subscriptions/12345678-1234-1234-1234-123456789012/resourceGroups/ResoruceGroup-1/providers/Microsoft.RecoveryServices/vaults/vault-1/backupPolicies/SQLPolicy","Protected","Healthy","12/20/2023 7:13:59AM","SQLPolicy",,,"NotDeleted","SQLDataBase;mssqlserver;model","/subscriptions/12345678-1234-1234-1234-123456789012/resourceGroups/ResoruceGroup-1/providers/Microsoft.RecoveryServices/vaults/vault-1/backupFabrics/Azure/protectionContainers/VMAppContainer;compute;RG-azbp-sqlvm;windows-azbp0/protectedItems/SQLDataBase;mssqlserver;model",,"/subscriptions/12345678-1234-1234-1234-123456789012/resourceGroups/RG-azbp-sqlvm/providers/Microsoft.Compute/virtualMachines/windows-azbp0","MSSQL","VMAppContainer;compute;RG-azbp-sqlvm;windows-azbp0","AzureVMAppContainer","AzureWorkload"
"Tenant-1","subscription-2","westus2","ResoruceGroup-1","azbp0_db6","windows-azbp0","MSSQLSERVER","AzureVmWorkloadSQLInstance",,"7661449799483830392","Healthy","Healthy","/subscriptions/12345678-1234-1234-1234-123456789012/resourceGroups/ResoruceGroup-1/providers/Microsoft.RecoveryServices/vaults/vault-1/backupPolicies/SQLPolicy","Protected","Healthy","12/20/2023 7:15:59AM","SQLPolicy",,,"NotDeleted","SQLDataBase;mssqlserver;azbp0_db6","/subscriptions/12345678-1234-1234-1234-123456789012/resourceGroups/ResoruceGroup-1/providers/Microsoft.RecoveryServices/vaults/vault-1/backupFabrics/Azure/protectionContainers/VMAppContainer;compute;RG-azbp-sqlvm;windows-azbp0/protectedItems/SQLDataBase;mssqlserver;azbp0_db6",,"/subscriptions/12345678-1234-1234-1234-123456789012/resourceGroups/RG-azbp-sqlvm/providers/Microsoft.Compute/virtualMachines/windows-azbp0","MSSQL","VMAppContainer;compute;RG-azbp-sqlvm;windows-azbp0","AzureVMAppContainer","AzureWorkload"
