"AwsAccountId","AwsAccountAlias","FileSystemId","FileSystemProtection","Name","SizeInBytes","SizeGiB","SizeTiB","SizeGB","SizeTB","NumberOfMountTargets","OwnerId","PerformanceMode","ProvisionedThroughputInMibps","DBInstanceIdentifier","Region","ThroughputMode","BackupPlans","InBackupPlan","Tag:TagName-00030"
"AwsAccountId-00000","AwsAccountAlias-00000","FileSystemId-00000","ENABLED","Name-00016","3945266585600","3674.3158","3.5882","3945.2666","3.9453","3","AwsAccountId-00000","generalPurpose","0",,"us-west-2","elastic","","False",
"AwsAccountId-00000","AwsAccountAlias-00000","FileSystemId-00001","DISABLED","Name-00017","4310760134656","4014.7082","3.9206","4310.7601","4.3108","3","AwsAccountId-00000","generalPurpose","0",,"us-west-2","elastic","","False",
"AwsAccountId-00000","AwsAccountAlias-00000","FileSystemId-00002","ENABLED","Name-00018","112618481664","104.8841","0.1024","112.6185","0.1126","1","AwsAccountId-00000","generalPurpose","0",,"us-west-2","elastic","","False",
"AwsAccountId-00001","AwsAccountAlias-00001","FileSystemId-00003","ENABLED","Name-00019","6144","0","0","0","0","3","AwsAccountId-00001","generalPurpose","0",,"us-west-2","bursting","","False","TagValue-00071"
